"","location","hits","keyword","geo","gprop","region","date"
"1","Alaska",100,"Amy Klobuchar","US","web","alaska",2019-05-09
"2","Kansas",84,"Amy Klobuchar","US","web","kansas",2019-05-09
"3","Minnesota",77,"Amy Klobuchar","US","web","minnesota",2019-05-09
"4","West Virginia",71,"Amy Klobuchar","US","web","west virginia",2019-05-09
"5","Mississippi",56,"Amy Klobuchar","US","web","mississippi",2019-05-09
"6","Maine",47,"Amy Klobuchar","US","web","maine",2019-05-09
"7","South Carolina",39,"Amy Klobuchar","US","web","south carolina",2019-05-09
"8","Idaho",38,"Amy Klobuchar","US","web","idaho",2019-05-09
"9","District of Columbia",38,"Amy Klobuchar","US","web","district of columbia",2019-05-09
"10","Wisconsin",32,"Amy Klobuchar","US","web","wisconsin",2019-05-09
"11","New Mexico",31,"Amy Klobuchar","US","web","new mexico",2019-05-09
"12","Iowa",30,"Amy Klobuchar","US","web","iowa",2019-05-09
"13","Arkansas",23,"Amy Klobuchar","US","web","arkansas",2019-05-09
"14","Virginia",21,"Amy Klobuchar","US","web","virginia",2019-05-09
"15","Florida",19,"Amy Klobuchar","US","web","florida",2019-05-09
"16","Nevada",18,"Amy Klobuchar","US","web","nevada",2019-05-09
"17","Utah",18,"Amy Klobuchar","US","web","utah",2019-05-09
"18","Georgia",18,"Amy Klobuchar","US","web","georgia",2019-05-09
"19","Oklahoma",17,"Amy Klobuchar","US","web","oklahoma",2019-05-09
"20","Tennessee",17,"Amy Klobuchar","US","web","tennessee",2019-05-09
"21","Maryland",17,"Amy Klobuchar","US","web","maryland",2019-05-09
"22","New Jersey",16,"Amy Klobuchar","US","web","new jersey",2019-05-09
"23","Kentucky",15,"Amy Klobuchar","US","web","kentucky",2019-05-09
"24","Michigan",15,"Amy Klobuchar","US","web","michigan",2019-05-09
"25","Illinois",15,"Amy Klobuchar","US","web","illinois",2019-05-09
"26","Connecticut",14,"Amy Klobuchar","US","web","connecticut",2019-05-09
"27","Alabama",14,"Amy Klobuchar","US","web","alabama",2019-05-09
"28","Massachusetts",14,"Amy Klobuchar","US","web","massachusetts",2019-05-09
"29","Oregon",13,"Amy Klobuchar","US","web","oregon",2019-05-09
"30","Ohio",13,"Amy Klobuchar","US","web","ohio",2019-05-09
"31","Pennsylvania",13,"Amy Klobuchar","US","web","pennsylvania",2019-05-09
"32","Texas",12,"Amy Klobuchar","US","web","texas",2019-05-09
"33","New York",12,"Amy Klobuchar","US","web","new york",2019-05-09
"34","California",11,"Amy Klobuchar","US","web","california",2019-05-09
"35","Washington",11,"Amy Klobuchar","US","web","washington",2019-05-09
"36","North Carolina",10,"Amy Klobuchar","US","web","north carolina",2019-05-09
"37","Missouri",9,"Amy Klobuchar","US","web","missouri",2019-05-09
"38","Arizona",8,"Amy Klobuchar","US","web","arizona",2019-05-09
"39","Colorado",8,"Amy Klobuchar","US","web","colorado",2019-05-09
"40","Delaware",0,"Amy Klobuchar","US","web","delaware",2019-05-09
"41","Hawaii",0,"Amy Klobuchar","US","web","hawaii",2019-05-09
"42","Indiana",0,"Amy Klobuchar","US","web","indiana",2019-05-09
"43","Louisiana",0,"Amy Klobuchar","US","web","louisiana",2019-05-09
"44","Montana",0,"Amy Klobuchar","US","web","montana",2019-05-09
"45","North Dakota",0,"Amy Klobuchar","US","web","north dakota",2019-05-09
"46","Nebraska",0,"Amy Klobuchar","US","web","nebraska",2019-05-09
"47","New Hampshire",0,"Amy Klobuchar","US","web","new hampshire",2019-05-09
"48","Rhode Island",0,"Amy Klobuchar","US","web","rhode island",2019-05-09
"49","South Dakota",0,"Amy Klobuchar","US","web","south dakota",2019-05-09
"50","Vermont",0,"Amy Klobuchar","US","web","vermont",2019-05-09
"51","Wyoming",0,"Amy Klobuchar","US","web","wyoming",2019-05-09
