"","date","hits","geo","time","keyword","gprop","category"
"1",2019-04-04,18,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"2",2019-04-05,24,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"3",2019-04-06,23,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"4",2019-04-07,22,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"5",2019-04-08,24,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"6",2019-04-09,24,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"7",2019-04-10,30,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"8",2019-04-11,22,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"9",2019-04-12,20,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"10",2019-04-13,22,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"11",2019-04-14,27,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"12",2019-04-15,46,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"13",2019-04-16,83,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"14",2019-04-17,50,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"15",2019-04-18,32,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"16",2019-04-19,28,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"17",2019-04-20,24,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"18",2019-04-21,22,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"19",2019-04-22,22,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"20",2019-04-23,48,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"21",2019-04-24,38,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"22",2019-04-25,54,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"23",2019-04-26,39,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"24",2019-04-27,31,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"25",2019-04-28,29,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"26",2019-04-29,22,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"27",2019-04-30,25,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"28",2019-05-01,20,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"29",2019-05-02,18,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"30",2019-05-03,18,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"31",2019-05-04,17,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"32",2019-05-05,19,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"33",2019-05-06,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"34",2019-05-07,15,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"35",2019-05-08,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"36",2019-05-09,17,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"37",2019-05-10,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"38",2019-05-11,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"39",2019-05-12,15,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"40",2019-05-13,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"41",2019-05-14,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"42",2019-05-15,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"43",2019-05-16,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"44",2019-05-17,16,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"45",2019-05-18,18,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"46",2019-05-19,18,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"47",2019-05-20,16,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"48",2019-05-21,16,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"49",2019-05-22,15,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"50",2019-05-23,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"51",2019-05-24,11,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"52",2019-05-25,15,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"53",2019-05-26,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"54",2019-05-27,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"55",2019-05-28,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"56",2019-05-29,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"57",2019-05-30,12,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"58",2019-05-31,12,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"59",2019-06-01,12,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"60",2019-06-02,12,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"61",2019-06-03,11,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"62",2019-06-04,11,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"63",2019-06-05,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"64",2019-06-06,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"65",2019-06-07,12,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"66",2019-06-08,11,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"67",2019-06-09,15,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"68",2019-06-10,11,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"69",2019-06-11,11,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"70",2019-06-12,17,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"71",2019-06-13,18,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"72",2019-06-14,15,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"73",2019-06-15,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"74",2019-06-16,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"75",2019-06-17,11,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"76",2019-06-18,13,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"77",2019-06-19,17,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"78",2019-06-20,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"79",2019-06-21,14,"US","2019-04-04 2019-06-21","Bernie Sanders","web",0
"80",2019-04-04,36,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"81",2019-04-05,27,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"82",2019-04-06,29,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"83",2019-04-07,41,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"84",2019-04-08,37,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"85",2019-04-09,28,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"86",2019-04-10,21,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"87",2019-04-11,21,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"88",2019-04-12,33,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"89",2019-04-13,31,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"90",2019-04-14,100,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"91",2019-04-15,83,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"92",2019-04-16,84,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"93",2019-04-17,64,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"94",2019-04-18,40,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"95",2019-04-19,35,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"96",2019-04-20,34,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"97",2019-04-21,36,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"98",2019-04-22,26,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"99",2019-04-23,51,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"100",2019-04-24,27,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"101",2019-04-25,32,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"102",2019-04-26,22,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"103",2019-04-27,18,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"104",2019-04-28,17,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"105",2019-04-29,18,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"106",2019-04-30,25,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"107",2019-05-01,17,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"108",2019-05-02,18,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"109",2019-05-03,15,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"110",2019-05-04,16,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"111",2019-05-05,15,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"112",2019-05-06,12,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"113",2019-05-07,12,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"114",2019-05-08,12,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"115",2019-05-09,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"116",2019-05-10,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"117",2019-05-11,16,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"118",2019-05-12,15,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"119",2019-05-13,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"120",2019-05-14,18,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"121",2019-05-15,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"122",2019-05-16,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"123",2019-05-17,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"124",2019-05-18,12,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"125",2019-05-19,28,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"126",2019-05-20,40,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"127",2019-05-21,26,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"128",2019-05-22,19,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"129",2019-05-23,18,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"130",2019-05-24,16,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"131",2019-05-25,15,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"132",2019-05-26,16,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"133",2019-05-27,15,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"134",2019-05-28,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"135",2019-05-29,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"136",2019-05-30,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"137",2019-05-31,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"138",2019-06-01,9,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"139",2019-06-02,8,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"140",2019-06-03,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"141",2019-06-04,14,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"142",2019-06-05,9,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"143",2019-06-06,8,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"144",2019-06-07,9,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"145",2019-06-08,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"146",2019-06-09,13,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"147",2019-06-10,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"148",2019-06-11,12,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"149",2019-06-12,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"150",2019-06-13,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"151",2019-06-14,10,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"152",2019-06-15,9,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"153",2019-06-16,13,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"154",2019-06-17,12,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"155",2019-06-18,11,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"156",2019-06-19,9,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"157",2019-06-20,8,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"158",2019-06-21,7,"US","2019-04-04 2019-06-21","Pete Buttigieg","web",0
"159",2019-04-04,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"160",2019-04-05,3,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"161",2019-04-06,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"162",2019-04-07,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"163",2019-04-08,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"164",2019-04-09,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"165",2019-04-10,8,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"166",2019-04-11,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"167",2019-04-12,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"168",2019-04-13,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"169",2019-04-14,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"170",2019-04-15,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"171",2019-04-16,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"172",2019-04-17,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"173",2019-04-18,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"174",2019-04-19,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"175",2019-04-20,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"176",2019-04-21,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"177",2019-04-22,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"178",2019-04-23,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"179",2019-04-24,3,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"180",2019-04-25,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"181",2019-04-26,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"182",2019-04-27,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"183",2019-04-28,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"184",2019-04-29,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"185",2019-04-30,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"186",2019-05-01,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"187",2019-05-02,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"188",2019-05-03,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"189",2019-05-04,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"190",2019-05-05,2,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"191",2019-05-06,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"192",2019-05-07,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"193",2019-05-08,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"194",2019-05-09,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"195",2019-05-10,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"196",2019-05-11,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"197",2019-05-12,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
"198",2019-05-13,1,"US","2019-04-04 2019-06-21","Kirsten Gillibrand","web",0
