"","location","hits","keyword","geo","gprop","region","date"
"1","Wyoming",100,"Julian Castro","US","web","wyoming",2019-06-14
"2","Alaska",78,"Julian Castro","US","web","alaska",2019-06-14
"3","Delaware",50,"Julian Castro","US","web","delaware",2019-06-14
"4","Rhode Island",39,"Julian Castro","US","web","rhode island",2019-06-14
"5","Nebraska",24,"Julian Castro","US","web","nebraska",2019-06-14
"6","Oregon",20,"Julian Castro","US","web","oregon",2019-06-14
"7","Kentucky",19,"Julian Castro","US","web","kentucky",2019-06-14
"8","Michigan",19,"Julian Castro","US","web","michigan",2019-06-14
"9","Arizona",17,"Julian Castro","US","web","arizona",2019-06-14
"10","Nevada",15,"Julian Castro","US","web","nevada",2019-06-14
"11","Oklahoma",15,"Julian Castro","US","web","oklahoma",2019-06-14
"12","Utah",14,"Julian Castro","US","web","utah",2019-06-14
"13","Tennessee",14,"Julian Castro","US","web","tennessee",2019-06-14
"14","Ohio",14,"Julian Castro","US","web","ohio",2019-06-14
"15","Louisiana",12,"Julian Castro","US","web","louisiana",2019-06-14
"16","Missouri",12,"Julian Castro","US","web","missouri",2019-06-14
"17","Alabama",12,"Julian Castro","US","web","alabama",2019-06-14
"18","Maryland",10,"Julian Castro","US","web","maryland",2019-06-14
"19","Florida",9,"Julian Castro","US","web","florida",2019-06-14
"20","Georgia",9,"Julian Castro","US","web","georgia",2019-06-14
"21","Texas",9,"Julian Castro","US","web","texas",2019-06-14
"22","Indiana",8,"Julian Castro","US","web","indiana",2019-06-14
"23","Colorado",7,"Julian Castro","US","web","colorado",2019-06-14
"24","California",7,"Julian Castro","US","web","california",2019-06-14
"25","New Jersey",6,"Julian Castro","US","web","new jersey",2019-06-14
"26","Illinois",6,"Julian Castro","US","web","illinois",2019-06-14
"27","Massachusetts",5,"Julian Castro","US","web","massachusetts",2019-06-14
"28","Washington",5,"Julian Castro","US","web","washington",2019-06-14
"29","Virginia",5,"Julian Castro","US","web","virginia",2019-06-14
"30","North Carolina",4,"Julian Castro","US","web","north carolina",2019-06-14
"31","New York",4,"Julian Castro","US","web","new york",2019-06-14
"32","Pennsylvania",3,"Julian Castro","US","web","pennsylvania",2019-06-14
"33","Arkansas",0,"Julian Castro","US","web","arkansas",2019-06-14
"34","Connecticut",0,"Julian Castro","US","web","connecticut",2019-06-14
"35","District of Columbia",0,"Julian Castro","US","web","district of columbia",2019-06-14
"36","Hawaii",0,"Julian Castro","US","web","hawaii",2019-06-14
"37","Iowa",0,"Julian Castro","US","web","iowa",2019-06-14
"38","Idaho",0,"Julian Castro","US","web","idaho",2019-06-14
"39","Kansas",0,"Julian Castro","US","web","kansas",2019-06-14
"40","Maine",0,"Julian Castro","US","web","maine",2019-06-14
"41","Minnesota",0,"Julian Castro","US","web","minnesota",2019-06-14
"42","Mississippi",0,"Julian Castro","US","web","mississippi",2019-06-14
"43","Montana",0,"Julian Castro","US","web","montana",2019-06-14
"44","North Dakota",0,"Julian Castro","US","web","north dakota",2019-06-14
"45","New Hampshire",0,"Julian Castro","US","web","new hampshire",2019-06-14
"46","New Mexico",0,"Julian Castro","US","web","new mexico",2019-06-14
"47","South Carolina",0,"Julian Castro","US","web","south carolina",2019-06-14
"48","South Dakota",0,"Julian Castro","US","web","south dakota",2019-06-14
"49","Vermont",0,"Julian Castro","US","web","vermont",2019-06-14
"50","Wisconsin",0,"Julian Castro","US","web","wisconsin",2019-06-14
"51","West Virginia",0,"Julian Castro","US","web","west virginia",2019-06-14
