"","location","hits","keyword","geo","gprop","region","date"
"1","District of Columbia",100,"Pete Buttigieg","US","web","district of columbia",2019-05-22
"2","South Dakota",96,"Pete Buttigieg","US","web","south dakota",2019-05-22
"3","Maine",65,"Pete Buttigieg","US","web","maine",2019-05-22
"4","Indiana",58,"Pete Buttigieg","US","web","indiana",2019-05-22
"5","Alaska",49,"Pete Buttigieg","US","web","alaska",2019-05-22
"6","Vermont",48,"Pete Buttigieg","US","web","vermont",2019-05-22
"7","Maryland",45,"Pete Buttigieg","US","web","maryland",2019-05-22
"8","Washington",43,"Pete Buttigieg","US","web","washington",2019-05-22
"9","North Dakota",42,"Pete Buttigieg","US","web","north dakota",2019-05-22
"10","New Hampshire",41,"Pete Buttigieg","US","web","new hampshire",2019-05-22
"11","Massachusetts",38,"Pete Buttigieg","US","web","massachusetts",2019-05-22
"12","Idaho",37,"Pete Buttigieg","US","web","idaho",2019-05-22
"13","Minnesota",33,"Pete Buttigieg","US","web","minnesota",2019-05-22
"14","Colorado",33,"Pete Buttigieg","US","web","colorado",2019-05-22
"15","Kansas",33,"Pete Buttigieg","US","web","kansas",2019-05-22
"16","California",32,"Pete Buttigieg","US","web","california",2019-05-22
"17","New York",32,"Pete Buttigieg","US","web","new york",2019-05-22
"18","Montana",32,"Pete Buttigieg","US","web","montana",2019-05-22
"19","New Mexico",31,"Pete Buttigieg","US","web","new mexico",2019-05-22
"20","Delaware",29,"Pete Buttigieg","US","web","delaware",2019-05-22
"21","Pennsylvania",29,"Pete Buttigieg","US","web","pennsylvania",2019-05-22
"22","Illinois",28,"Pete Buttigieg","US","web","illinois",2019-05-22
"23","South Carolina",28,"Pete Buttigieg","US","web","south carolina",2019-05-22
"24","Connecticut",27,"Pete Buttigieg","US","web","connecticut",2019-05-22
"25","Virginia",27,"Pete Buttigieg","US","web","virginia",2019-05-22
"26","Missouri",26,"Pete Buttigieg","US","web","missouri",2019-05-22
"27","Alabama",25,"Pete Buttigieg","US","web","alabama",2019-05-22
"28","Iowa",25,"Pete Buttigieg","US","web","iowa",2019-05-22
"29","Oregon",24,"Pete Buttigieg","US","web","oregon",2019-05-22
"30","Rhode Island",24,"Pete Buttigieg","US","web","rhode island",2019-05-22
"31","Arkansas",24,"Pete Buttigieg","US","web","arkansas",2019-05-22
"32","West Virginia",23,"Pete Buttigieg","US","web","west virginia",2019-05-22
"33","Arizona",23,"Pete Buttigieg","US","web","arizona",2019-05-22
"34","Louisiana",23,"Pete Buttigieg","US","web","louisiana",2019-05-22
"35","Texas",22,"Pete Buttigieg","US","web","texas",2019-05-22
"36","Georgia",22,"Pete Buttigieg","US","web","georgia",2019-05-22
"37","Florida",22,"Pete Buttigieg","US","web","florida",2019-05-22
"38","North Carolina",22,"Pete Buttigieg","US","web","north carolina",2019-05-22
"39","Tennessee",20,"Pete Buttigieg","US","web","tennessee",2019-05-22
"40","Kentucky",19,"Pete Buttigieg","US","web","kentucky",2019-05-22
"41","Michigan",19,"Pete Buttigieg","US","web","michigan",2019-05-22
"42","Ohio",19,"Pete Buttigieg","US","web","ohio",2019-05-22
"43","Nevada",17,"Pete Buttigieg","US","web","nevada",2019-05-22
"44","Oklahoma",17,"Pete Buttigieg","US","web","oklahoma",2019-05-22
"45","Utah",17,"Pete Buttigieg","US","web","utah",2019-05-22
"46","Wisconsin",16,"Pete Buttigieg","US","web","wisconsin",2019-05-22
"47","Nebraska",14,"Pete Buttigieg","US","web","nebraska",2019-05-22
"48","New Jersey",12,"Pete Buttigieg","US","web","new jersey",2019-05-22
"49","Hawaii",0,"Pete Buttigieg","US","web","hawaii",2019-05-22
"50","Mississippi",0,"Pete Buttigieg","US","web","mississippi",2019-05-22
"51","Wyoming",0,"Pete Buttigieg","US","web","wyoming",2019-05-22
