"","location","hits","keyword","geo","gprop","region","date"
"1","District of Columbia",100,"Pete Buttigieg","US","web","district of columbia",2019-05-21
"2","North Dakota",90,"Pete Buttigieg","US","web","north dakota",2019-05-21
"3","South Dakota",78,"Pete Buttigieg","US","web","south dakota",2019-05-21
"4","Indiana",74,"Pete Buttigieg","US","web","indiana",2019-05-21
"5","Alaska",74,"Pete Buttigieg","US","web","alaska",2019-05-21
"6","Vermont",72,"Pete Buttigieg","US","web","vermont",2019-05-21
"7","Rhode Island",71,"Pete Buttigieg","US","web","rhode island",2019-05-21
"8","New Hampshire",62,"Pete Buttigieg","US","web","new hampshire",2019-05-21
"9","Wyoming",57,"Pete Buttigieg","US","web","wyoming",2019-05-21
"10","Minnesota",55,"Pete Buttigieg","US","web","minnesota",2019-05-21
"11","New Mexico",54,"Pete Buttigieg","US","web","new mexico",2019-05-21
"12","Massachusetts",53,"Pete Buttigieg","US","web","massachusetts",2019-05-21
"13","Colorado",51,"Pete Buttigieg","US","web","colorado",2019-05-21
"14","New Jersey",50,"Pete Buttigieg","US","web","new jersey",2019-05-21
"15","California",48,"Pete Buttigieg","US","web","california",2019-05-21
"16","Washington",47,"Pete Buttigieg","US","web","washington",2019-05-21
"17","West Virginia",46,"Pete Buttigieg","US","web","west virginia",2019-05-21
"18","Illinois",46,"Pete Buttigieg","US","web","illinois",2019-05-21
"19","Virginia",45,"Pete Buttigieg","US","web","virginia",2019-05-21
"20","New York",44,"Pete Buttigieg","US","web","new york",2019-05-21
"21","Nevada",43,"Pete Buttigieg","US","web","nevada",2019-05-21
"22","Maryland",43,"Pete Buttigieg","US","web","maryland",2019-05-21
"23","Maine",43,"Pete Buttigieg","US","web","maine",2019-05-21
"24","Hawaii",43,"Pete Buttigieg","US","web","hawaii",2019-05-21
"25","Mississippi",43,"Pete Buttigieg","US","web","mississippi",2019-05-21
"26","Utah",42,"Pete Buttigieg","US","web","utah",2019-05-21
"27","Oklahoma",42,"Pete Buttigieg","US","web","oklahoma",2019-05-21
"28","Nebraska",42,"Pete Buttigieg","US","web","nebraska",2019-05-21
"29","Missouri",41,"Pete Buttigieg","US","web","missouri",2019-05-21
"30","Ohio",40,"Pete Buttigieg","US","web","ohio",2019-05-21
"31","Iowa",40,"Pete Buttigieg","US","web","iowa",2019-05-21
"32","Kentucky",39,"Pete Buttigieg","US","web","kentucky",2019-05-21
"33","Florida",38,"Pete Buttigieg","US","web","florida",2019-05-21
"34","Pennsylvania",38,"Pete Buttigieg","US","web","pennsylvania",2019-05-21
"35","Georgia",38,"Pete Buttigieg","US","web","georgia",2019-05-21
"36","South Carolina",37,"Pete Buttigieg","US","web","south carolina",2019-05-21
"37","Connecticut",37,"Pete Buttigieg","US","web","connecticut",2019-05-21
"38","North Carolina",36,"Pete Buttigieg","US","web","north carolina",2019-05-21
"39","Alabama",35,"Pete Buttigieg","US","web","alabama",2019-05-21
"40","Arizona",33,"Pete Buttigieg","US","web","arizona",2019-05-21
"41","Montana",32,"Pete Buttigieg","US","web","montana",2019-05-21
"42","Oregon",31,"Pete Buttigieg","US","web","oregon",2019-05-21
"43","Michigan",31,"Pete Buttigieg","US","web","michigan",2019-05-21
"44","Tennessee",29,"Pete Buttigieg","US","web","tennessee",2019-05-21
"45","Kansas",26,"Pete Buttigieg","US","web","kansas",2019-05-21
"46","Texas",23,"Pete Buttigieg","US","web","texas",2019-05-21
"47","Wisconsin",18,"Pete Buttigieg","US","web","wisconsin",2019-05-21
"48","Idaho",18,"Pete Buttigieg","US","web","idaho",2019-05-21
"49","Arkansas",18,"Pete Buttigieg","US","web","arkansas",2019-05-21
"50","Louisiana",8,"Pete Buttigieg","US","web","louisiana",2019-05-21
"51","Delaware",0,"Pete Buttigieg","US","web","delaware",2019-05-21
