"","location","hits","keyword","geo","gprop","region","date"
"1","Vermont",100,"Bernie Sanders","US","web","vermont",2019-04-16
"2","District of Columbia",98,"Bernie Sanders","US","web","district of columbia",2019-04-16
"3","Pennsylvania",61,"Bernie Sanders","US","web","pennsylvania",2019-04-16
"4","Oregon",53,"Bernie Sanders","US","web","oregon",2019-04-16
"5","Connecticut",53,"Bernie Sanders","US","web","connecticut",2019-04-16
"6","New Mexico",48,"Bernie Sanders","US","web","new mexico",2019-04-16
"7","New York",47,"Bernie Sanders","US","web","new york",2019-04-16
"8","Idaho",46,"Bernie Sanders","US","web","idaho",2019-04-16
"9","Alaska",44,"Bernie Sanders","US","web","alaska",2019-04-16
"10","Montana",44,"Bernie Sanders","US","web","montana",2019-04-16
"11","Washington",42,"Bernie Sanders","US","web","washington",2019-04-16
"12","Michigan",42,"Bernie Sanders","US","web","michigan",2019-04-16
"13","Massachusetts",41,"Bernie Sanders","US","web","massachusetts",2019-04-16
"14","Wyoming",40,"Bernie Sanders","US","web","wyoming",2019-04-16
"15","New Hampshire",39,"Bernie Sanders","US","web","new hampshire",2019-04-16
"16","New Jersey",39,"Bernie Sanders","US","web","new jersey",2019-04-16
"17","North Dakota",38,"Bernie Sanders","US","web","north dakota",2019-04-16
"18","Ohio",38,"Bernie Sanders","US","web","ohio",2019-04-16
"19","Rhode Island",36,"Bernie Sanders","US","web","rhode island",2019-04-16
"20","South Dakota",36,"Bernie Sanders","US","web","south dakota",2019-04-16
"21","Maryland",35,"Bernie Sanders","US","web","maryland",2019-04-16
"22","Florida",35,"Bernie Sanders","US","web","florida",2019-04-16
"23","Hawaii",35,"Bernie Sanders","US","web","hawaii",2019-04-16
"24","Wisconsin",35,"Bernie Sanders","US","web","wisconsin",2019-04-16
"25","Nevada",34,"Bernie Sanders","US","web","nevada",2019-04-16
"26","Virginia",34,"Bernie Sanders","US","web","virginia",2019-04-16
"27","Illinois",33,"Bernie Sanders","US","web","illinois",2019-04-16
"28","Delaware",33,"Bernie Sanders","US","web","delaware",2019-04-16
"29","Maine",32,"Bernie Sanders","US","web","maine",2019-04-16
"30","Minnesota",32,"Bernie Sanders","US","web","minnesota",2019-04-16
"31","California",32,"Bernie Sanders","US","web","california",2019-04-16
"32","Arkansas",32,"Bernie Sanders","US","web","arkansas",2019-04-16
"33","Arizona",31,"Bernie Sanders","US","web","arizona",2019-04-16
"34","Kansas",30,"Bernie Sanders","US","web","kansas",2019-04-16
"35","Colorado",28,"Bernie Sanders","US","web","colorado",2019-04-16
"36","Kentucky",28,"Bernie Sanders","US","web","kentucky",2019-04-16
"37","Nebraska",27,"Bernie Sanders","US","web","nebraska",2019-04-16
"38","West Virginia",27,"Bernie Sanders","US","web","west virginia",2019-04-16
"39","Missouri",27,"Bernie Sanders","US","web","missouri",2019-04-16
"40","North Carolina",27,"Bernie Sanders","US","web","north carolina",2019-04-16
"41","Tennessee",26,"Bernie Sanders","US","web","tennessee",2019-04-16
"42","Indiana",26,"Bernie Sanders","US","web","indiana",2019-04-16
"43","Texas",25,"Bernie Sanders","US","web","texas",2019-04-16
"44","South Carolina",25,"Bernie Sanders","US","web","south carolina",2019-04-16
"45","Louisiana",24,"Bernie Sanders","US","web","louisiana",2019-04-16
"46","Iowa",23,"Bernie Sanders","US","web","iowa",2019-04-16
"47","Oklahoma",23,"Bernie Sanders","US","web","oklahoma",2019-04-16
"48","Georgia",22,"Bernie Sanders","US","web","georgia",2019-04-16
"49","Alabama",22,"Bernie Sanders","US","web","alabama",2019-04-16
"50","Utah",21,"Bernie Sanders","US","web","utah",2019-04-16
"51","Mississippi",21,"Bernie Sanders","US","web","mississippi",2019-04-16
