"","location","hits","keyword","geo","gprop","region","date"
"1","District of Columbia",100,"Bernie Sanders","US","web","district of columbia",2019-04-15
"2","Vermont",78,"Bernie Sanders","US","web","vermont",2019-04-15
"3","Wyoming",76,"Bernie Sanders","US","web","wyoming",2019-04-15
"4","Pennsylvania",63,"Bernie Sanders","US","web","pennsylvania",2019-04-15
"5","Michigan",40,"Bernie Sanders","US","web","michigan",2019-04-15
"6","Oregon",37,"Bernie Sanders","US","web","oregon",2019-04-15
"7","Maine",36,"Bernie Sanders","US","web","maine",2019-04-15
"8","Delaware",36,"Bernie Sanders","US","web","delaware",2019-04-15
"9","Rhode Island",34,"Bernie Sanders","US","web","rhode island",2019-04-15
"10","New Jersey",34,"Bernie Sanders","US","web","new jersey",2019-04-15
"11","New Mexico",33,"Bernie Sanders","US","web","new mexico",2019-04-15
"12","Minnesota",33,"Bernie Sanders","US","web","minnesota",2019-04-15
"13","Wisconsin",33,"Bernie Sanders","US","web","wisconsin",2019-04-15
"14","Ohio",32,"Bernie Sanders","US","web","ohio",2019-04-15
"15","Connecticut",32,"Bernie Sanders","US","web","connecticut",2019-04-15
"16","Virginia",32,"Bernie Sanders","US","web","virginia",2019-04-15
"17","Alabama",31,"Bernie Sanders","US","web","alabama",2019-04-15
"18","Alaska",31,"Bernie Sanders","US","web","alaska",2019-04-15
"19","Montana",31,"Bernie Sanders","US","web","montana",2019-04-15
"20","Arkansas",29,"Bernie Sanders","US","web","arkansas",2019-04-15
"21","South Carolina",29,"Bernie Sanders","US","web","south carolina",2019-04-15
"22","Illinois",29,"Bernie Sanders","US","web","illinois",2019-04-15
"23","Maryland",28,"Bernie Sanders","US","web","maryland",2019-04-15
"24","New York",27,"Bernie Sanders","US","web","new york",2019-04-15
"25","Washington",27,"Bernie Sanders","US","web","washington",2019-04-15
"26","Idaho",27,"Bernie Sanders","US","web","idaho",2019-04-15
"27","West Virginia",27,"Bernie Sanders","US","web","west virginia",2019-04-15
"28","Florida",26,"Bernie Sanders","US","web","florida",2019-04-15
"29","Massachusetts",26,"Bernie Sanders","US","web","massachusetts",2019-04-15
"30","North Dakota",26,"Bernie Sanders","US","web","north dakota",2019-04-15
"31","Indiana",25,"Bernie Sanders","US","web","indiana",2019-04-15
"32","South Dakota",25,"Bernie Sanders","US","web","south dakota",2019-04-15
"33","California",25,"Bernie Sanders","US","web","california",2019-04-15
"34","Louisiana",24,"Bernie Sanders","US","web","louisiana",2019-04-15
"35","Tennessee",23,"Bernie Sanders","US","web","tennessee",2019-04-15
"36","North Carolina",21,"Bernie Sanders","US","web","north carolina",2019-04-15
"37","New Hampshire",20,"Bernie Sanders","US","web","new hampshire",2019-04-15
"38","Arizona",20,"Bernie Sanders","US","web","arizona",2019-04-15
"39","Hawaii",19,"Bernie Sanders","US","web","hawaii",2019-04-15
"40","Kansas",18,"Bernie Sanders","US","web","kansas",2019-04-15
"41","Kentucky",18,"Bernie Sanders","US","web","kentucky",2019-04-15
"42","Missouri",17,"Bernie Sanders","US","web","missouri",2019-04-15
"43","Iowa",17,"Bernie Sanders","US","web","iowa",2019-04-15
"44","Mississippi",17,"Bernie Sanders","US","web","mississippi",2019-04-15
"45","Texas",17,"Bernie Sanders","US","web","texas",2019-04-15
"46","Utah",14,"Bernie Sanders","US","web","utah",2019-04-15
"47","Georgia",14,"Bernie Sanders","US","web","georgia",2019-04-15
"48","Colorado",14,"Bernie Sanders","US","web","colorado",2019-04-15
"49","Oklahoma",13,"Bernie Sanders","US","web","oklahoma",2019-04-15
"50","Nebraska",13,"Bernie Sanders","US","web","nebraska",2019-04-15
"51","Nevada",12,"Bernie Sanders","US","web","nevada",2019-04-15
