"","location","hits","keyword","geo","gprop","region","date"
"1","Alaska",100,"Amy Klobuchar","US","web","alaska",2019-05-08
"2","Maine",69,"Amy Klobuchar","US","web","maine",2019-05-08
"3","Delaware",62,"Amy Klobuchar","US","web","delaware",2019-05-08
"4","Mississippi",59,"Amy Klobuchar","US","web","mississippi",2019-05-08
"5","Minnesota",52,"Amy Klobuchar","US","web","minnesota",2019-05-08
"6","West Virginia",48,"Amy Klobuchar","US","web","west virginia",2019-05-08
"7","New Hampshire",44,"Amy Klobuchar","US","web","new hampshire",2019-05-08
"8","Iowa",41,"Amy Klobuchar","US","web","iowa",2019-05-08
"9","South Carolina",39,"Amy Klobuchar","US","web","south carolina",2019-05-08
"10","District of Columbia",37,"Amy Klobuchar","US","web","district of columbia",2019-05-08
"11","Alabama",29,"Amy Klobuchar","US","web","alabama",2019-05-08
"12","New Jersey",28,"Amy Klobuchar","US","web","new jersey",2019-05-08
"13","Arkansas",24,"Amy Klobuchar","US","web","arkansas",2019-05-08
"14","Washington",22,"Amy Klobuchar","US","web","washington",2019-05-08
"15","Wisconsin",19,"Amy Klobuchar","US","web","wisconsin",2019-05-08
"16","Missouri",19,"Amy Klobuchar","US","web","missouri",2019-05-08
"17","Nevada",19,"Amy Klobuchar","US","web","nevada",2019-05-08
"18","Utah",18,"Amy Klobuchar","US","web","utah",2019-05-08
"19","Oklahoma",18,"Amy Klobuchar","US","web","oklahoma",2019-05-08
"20","Virginia",16,"Amy Klobuchar","US","web","virginia",2019-05-08
"21","Pennsylvania",15,"Amy Klobuchar","US","web","pennsylvania",2019-05-08
"22","Florida",15,"Amy Klobuchar","US","web","florida",2019-05-08
"23","Maryland",13,"Amy Klobuchar","US","web","maryland",2019-05-08
"24","Arizona",13,"Amy Klobuchar","US","web","arizona",2019-05-08
"25","California",11,"Amy Klobuchar","US","web","california",2019-05-08
"26","Georgia",11,"Amy Klobuchar","US","web","georgia",2019-05-08
"27","Texas",10,"Amy Klobuchar","US","web","texas",2019-05-08
"28","Indiana",10,"Amy Klobuchar","US","web","indiana",2019-05-08
"29","Illinois",9,"Amy Klobuchar","US","web","illinois",2019-05-08
"30","Ohio",9,"Amy Klobuchar","US","web","ohio",2019-05-08
"31","Tennessee",9,"Amy Klobuchar","US","web","tennessee",2019-05-08
"32","Colorado",8,"Amy Klobuchar","US","web","colorado",2019-05-08
"33","North Carolina",8,"Amy Klobuchar","US","web","north carolina",2019-05-08
"34","New York",7,"Amy Klobuchar","US","web","new york",2019-05-08
"35","Massachusetts",7,"Amy Klobuchar","US","web","massachusetts",2019-05-08
"36","Michigan",6,"Amy Klobuchar","US","web","michigan",2019-05-08
"37","Connecticut",0,"Amy Klobuchar","US","web","connecticut",2019-05-08
"38","Hawaii",0,"Amy Klobuchar","US","web","hawaii",2019-05-08
"39","Idaho",0,"Amy Klobuchar","US","web","idaho",2019-05-08
"40","Kansas",0,"Amy Klobuchar","US","web","kansas",2019-05-08
"41","Kentucky",0,"Amy Klobuchar","US","web","kentucky",2019-05-08
"42","Louisiana",0,"Amy Klobuchar","US","web","louisiana",2019-05-08
"43","Montana",0,"Amy Klobuchar","US","web","montana",2019-05-08
"44","North Dakota",0,"Amy Klobuchar","US","web","north dakota",2019-05-08
"45","Nebraska",0,"Amy Klobuchar","US","web","nebraska",2019-05-08
"46","New Mexico",0,"Amy Klobuchar","US","web","new mexico",2019-05-08
"47","Oregon",0,"Amy Klobuchar","US","web","oregon",2019-05-08
"48","Rhode Island",0,"Amy Klobuchar","US","web","rhode island",2019-05-08
"49","South Dakota",0,"Amy Klobuchar","US","web","south dakota",2019-05-08
"50","Vermont",0,"Amy Klobuchar","US","web","vermont",2019-05-08
"51","Wyoming",0,"Amy Klobuchar","US","web","wyoming",2019-05-08
