"","subject","related_queries","value","geo","keyword","category"
"1","100","top","kamala harris","US","Amy Klobuchar",0
"2","84","top","amy klobuchar 2020","US","Amy Klobuchar",0
"3","50","top","joe biden","US","Amy Klobuchar",0
"4","50","top","senator amy klobuchar","US","Amy Klobuchar",0
"5","50","top","elizabeth warren","US","Amy Klobuchar",0
"6","46","top","cory booker","US","Amy Klobuchar",0
"7","46","top","kirsten gillibrand","US","Amy Klobuchar",0
"8","42","top","pete buttigieg","US","Amy Klobuchar",0
"9","33","top","amy klobuchar comb","US","Amy Klobuchar",0
"10","29","top","democratic candidates","US","Amy Klobuchar",0
"11","25","top","amy klobuchar age","US","Amy Klobuchar",0
"12","21","top","amy klobuchar twitter","US","Amy Klobuchar",0
"13","17","top","amy klobuchar daughter","US","Amy Klobuchar",0
"14","8","top","sen. amy klobuchar","US","Amy Klobuchar",0
"15","8","top","how old is amy klobuchar","US","Amy Klobuchar",0
"16","8","top","amy klobuchar husband","US","Amy Klobuchar",0
"17","8","top","sen amy klobuchar","US","Amy Klobuchar",0
"18","+200%","rising","pete buttigieg","US","Amy Klobuchar",0
"19","+50%","rising","amy klobuchar comb","US","Amy Klobuchar",0
