"","location","hits","keyword","geo","gprop","region","date"
"1","South Dakota",100,"Julian Castro","US","web","south dakota",2019-06-13
"2","District of Columbia",42,"Julian Castro","US","web","district of columbia",2019-06-13
"3","Arizona",38,"Julian Castro","US","web","arizona",2019-06-13
"4","Indiana",35,"Julian Castro","US","web","indiana",2019-06-13
"5","Mississippi",35,"Julian Castro","US","web","mississippi",2019-06-13
"6","South Carolina",30,"Julian Castro","US","web","south carolina",2019-06-13
"7","Oregon",29,"Julian Castro","US","web","oregon",2019-06-13
"8","Nevada",22,"Julian Castro","US","web","nevada",2019-06-13
"9","Oklahoma",21,"Julian Castro","US","web","oklahoma",2019-06-13
"10","Kentucky",18,"Julian Castro","US","web","kentucky",2019-06-13
"11","Louisiana",18,"Julian Castro","US","web","louisiana",2019-06-13
"12","Connecticut",16,"Julian Castro","US","web","connecticut",2019-06-13
"13","Massachusetts",15,"Julian Castro","US","web","massachusetts",2019-06-13
"14","Michigan",13,"Julian Castro","US","web","michigan",2019-06-13
"15","New Jersey",12,"Julian Castro","US","web","new jersey",2019-06-13
"16","Ohio",11,"Julian Castro","US","web","ohio",2019-06-13
"17","Washington",11,"Julian Castro","US","web","washington",2019-06-13
"18","Missouri",11,"Julian Castro","US","web","missouri",2019-06-13
"19","Minnesota",11,"Julian Castro","US","web","minnesota",2019-06-13
"20","Florida",10,"Julian Castro","US","web","florida",2019-06-13
"21","Colorado",10,"Julian Castro","US","web","colorado",2019-06-13
"22","Texas",10,"Julian Castro","US","web","texas",2019-06-13
"23","Tennessee",10,"Julian Castro","US","web","tennessee",2019-06-13
"24","Pennsylvania",10,"Julian Castro","US","web","pennsylvania",2019-06-13
"25","Maryland",9,"Julian Castro","US","web","maryland",2019-06-13
"26","New York",7,"Julian Castro","US","web","new york",2019-06-13
"27","Virginia",7,"Julian Castro","US","web","virginia",2019-06-13
"28","Georgia",6,"Julian Castro","US","web","georgia",2019-06-13
"29","California",6,"Julian Castro","US","web","california",2019-06-13
"30","Illinois",4,"Julian Castro","US","web","illinois",2019-06-13
"31","Alaska",0,"Julian Castro","US","web","alaska",2019-06-13
"32","Alabama",0,"Julian Castro","US","web","alabama",2019-06-13
"33","Arkansas",0,"Julian Castro","US","web","arkansas",2019-06-13
"34","Delaware",0,"Julian Castro","US","web","delaware",2019-06-13
"35","Hawaii",0,"Julian Castro","US","web","hawaii",2019-06-13
"36","Iowa",0,"Julian Castro","US","web","iowa",2019-06-13
"37","Idaho",0,"Julian Castro","US","web","idaho",2019-06-13
"38","Kansas",0,"Julian Castro","US","web","kansas",2019-06-13
"39","Maine",0,"Julian Castro","US","web","maine",2019-06-13
"40","Montana",0,"Julian Castro","US","web","montana",2019-06-13
"41","North Carolina",0,"Julian Castro","US","web","north carolina",2019-06-13
"42","North Dakota",0,"Julian Castro","US","web","north dakota",2019-06-13
"43","Nebraska",0,"Julian Castro","US","web","nebraska",2019-06-13
"44","New Hampshire",0,"Julian Castro","US","web","new hampshire",2019-06-13
"45","New Mexico",0,"Julian Castro","US","web","new mexico",2019-06-13
"46","Rhode Island",0,"Julian Castro","US","web","rhode island",2019-06-13
"47","Utah",0,"Julian Castro","US","web","utah",2019-06-13
"48","Vermont",0,"Julian Castro","US","web","vermont",2019-06-13
"49","Wisconsin",0,"Julian Castro","US","web","wisconsin",2019-06-13
"50","West Virginia",0,"Julian Castro","US","web","west virginia",2019-06-13
"51","Wyoming",0,"Julian Castro","US","web","wyoming",2019-06-13
