"","location","hits","keyword","geo","gprop","region","date"
"1","Iowa",100,"Kirsten Gillibrand","US","web","iowa",2019-06-03
"2","West Virginia",66,"Kirsten Gillibrand","US","web","west virginia",2019-06-03
"3","District of Columbia",63,"Kirsten Gillibrand","US","web","district of columbia",2019-06-03
"4","Idaho",57,"Kirsten Gillibrand","US","web","idaho",2019-06-03
"5","New Hampshire",56,"Kirsten Gillibrand","US","web","new hampshire",2019-06-03
"6","Nevada",52,"Kirsten Gillibrand","US","web","nevada",2019-06-03
"7","Colorado",52,"Kirsten Gillibrand","US","web","colorado",2019-06-03
"8","Tennessee",44,"Kirsten Gillibrand","US","web","tennessee",2019-06-03
"9","Mississippi",42,"Kirsten Gillibrand","US","web","mississippi",2019-06-03
"10","Connecticut",39,"Kirsten Gillibrand","US","web","connecticut",2019-06-03
"11","Michigan",38,"Kirsten Gillibrand","US","web","michigan",2019-06-03
"12","Utah",26,"Kirsten Gillibrand","US","web","utah",2019-06-03
"13","Florida",26,"Kirsten Gillibrand","US","web","florida",2019-06-03
"14","Arizona",24,"Kirsten Gillibrand","US","web","arizona",2019-06-03
"15","New York",23,"Kirsten Gillibrand","US","web","new york",2019-06-03
"16","Kentucky",22,"Kirsten Gillibrand","US","web","kentucky",2019-06-03
"17","Indiana",22,"Kirsten Gillibrand","US","web","indiana",2019-06-03
"18","North Carolina",22,"Kirsten Gillibrand","US","web","north carolina",2019-06-03
"19","Virginia",20,"Kirsten Gillibrand","US","web","virginia",2019-06-03
"20","Texas",19,"Kirsten Gillibrand","US","web","texas",2019-06-03
"21","Massachusetts",19,"Kirsten Gillibrand","US","web","massachusetts",2019-06-03
"22","Ohio",18,"Kirsten Gillibrand","US","web","ohio",2019-06-03
"23","South Carolina",18,"Kirsten Gillibrand","US","web","south carolina",2019-06-03
"24","California",16,"Kirsten Gillibrand","US","web","california",2019-06-03
"25","Pennsylvania",15,"Kirsten Gillibrand","US","web","pennsylvania",2019-06-03
"26","New Jersey",15,"Kirsten Gillibrand","US","web","new jersey",2019-06-03
"27","Minnesota",14,"Kirsten Gillibrand","US","web","minnesota",2019-06-03
"28","Missouri",14,"Kirsten Gillibrand","US","web","missouri",2019-06-03
"29","Wisconsin",14,"Kirsten Gillibrand","US","web","wisconsin",2019-06-03
"30","Illinois",14,"Kirsten Gillibrand","US","web","illinois",2019-06-03
"31","Maryland",12,"Kirsten Gillibrand","US","web","maryland",2019-06-03
"32","Washington",10,"Kirsten Gillibrand","US","web","washington",2019-06-03
"33","Georgia",7,"Kirsten Gillibrand","US","web","georgia",2019-06-03
"34","Alaska",0,"Kirsten Gillibrand","US","web","alaska",2019-06-03
"35","Alabama",0,"Kirsten Gillibrand","US","web","alabama",2019-06-03
"36","Arkansas",0,"Kirsten Gillibrand","US","web","arkansas",2019-06-03
"37","Delaware",0,"Kirsten Gillibrand","US","web","delaware",2019-06-03
"38","Hawaii",0,"Kirsten Gillibrand","US","web","hawaii",2019-06-03
"39","Kansas",0,"Kirsten Gillibrand","US","web","kansas",2019-06-03
"40","Louisiana",0,"Kirsten Gillibrand","US","web","louisiana",2019-06-03
"41","Maine",0,"Kirsten Gillibrand","US","web","maine",2019-06-03
"42","Montana",0,"Kirsten Gillibrand","US","web","montana",2019-06-03
"43","North Dakota",0,"Kirsten Gillibrand","US","web","north dakota",2019-06-03
"44","Nebraska",0,"Kirsten Gillibrand","US","web","nebraska",2019-06-03
"45","New Mexico",0,"Kirsten Gillibrand","US","web","new mexico",2019-06-03
"46","Oklahoma",0,"Kirsten Gillibrand","US","web","oklahoma",2019-06-03
"47","Oregon",0,"Kirsten Gillibrand","US","web","oregon",2019-06-03
"48","Rhode Island",0,"Kirsten Gillibrand","US","web","rhode island",2019-06-03
"49","South Dakota",0,"Kirsten Gillibrand","US","web","south dakota",2019-06-03
"50","Vermont",0,"Kirsten Gillibrand","US","web","vermont",2019-06-03
"51","Wyoming",0,"Kirsten Gillibrand","US","web","wyoming",2019-06-03
