"","location","hits","keyword","geo","gprop","region","date"
"1","Vermont",100,"Kirsten Gillibrand","US","web","vermont",2019-06-02
"2","District of Columbia",58,"Kirsten Gillibrand","US","web","district of columbia",2019-06-02
"3","Hawaii",43,"Kirsten Gillibrand","US","web","hawaii",2019-06-02
"4","New Hampshire",40,"Kirsten Gillibrand","US","web","new hampshire",2019-06-02
"5","Idaho",40,"Kirsten Gillibrand","US","web","idaho",2019-06-02
"6","Nebraska",30,"Kirsten Gillibrand","US","web","nebraska",2019-06-02
"7","Alabama",29,"Kirsten Gillibrand","US","web","alabama",2019-06-02
"8","Kansas",24,"Kirsten Gillibrand","US","web","kansas",2019-06-02
"9","Iowa",24,"Kirsten Gillibrand","US","web","iowa",2019-06-02
"10","Nevada",18,"Kirsten Gillibrand","US","web","nevada",2019-06-02
"11","Arizona",17,"Kirsten Gillibrand","US","web","arizona",2019-06-02
"12","Kentucky",16,"Kirsten Gillibrand","US","web","kentucky",2019-06-02
"13","Pennsylvania",15,"Kirsten Gillibrand","US","web","pennsylvania",2019-06-02
"14","Louisiana",15,"Kirsten Gillibrand","US","web","louisiana",2019-06-02
"15","Massachusetts",14,"Kirsten Gillibrand","US","web","massachusetts",2019-06-02
"16","Tennessee",13,"Kirsten Gillibrand","US","web","tennessee",2019-06-02
"17","South Carolina",13,"Kirsten Gillibrand","US","web","south carolina",2019-06-02
"18","New York",12,"Kirsten Gillibrand","US","web","new york",2019-06-02
"19","Michigan",12,"Kirsten Gillibrand","US","web","michigan",2019-06-02
"20","New Jersey",11,"Kirsten Gillibrand","US","web","new jersey",2019-06-02
"21","North Carolina",10,"Kirsten Gillibrand","US","web","north carolina",2019-06-02
"22","Minnesota",10,"Kirsten Gillibrand","US","web","minnesota",2019-06-02
"23","Florida",10,"Kirsten Gillibrand","US","web","florida",2019-06-02
"24","Indiana",10,"Kirsten Gillibrand","US","web","indiana",2019-06-02
"25","Colorado",9,"Kirsten Gillibrand","US","web","colorado",2019-06-02
"26","Maryland",8,"Kirsten Gillibrand","US","web","maryland",2019-06-02
"27","Georgia",7,"Kirsten Gillibrand","US","web","georgia",2019-06-02
"28","Texas",6,"Kirsten Gillibrand","US","web","texas",2019-06-02
"29","Virginia",6,"Kirsten Gillibrand","US","web","virginia",2019-06-02
"30","California",5,"Kirsten Gillibrand","US","web","california",2019-06-02
"31","Alaska",0,"Kirsten Gillibrand","US","web","alaska",2019-06-02
"32","Arkansas",0,"Kirsten Gillibrand","US","web","arkansas",2019-06-02
"33","Connecticut",0,"Kirsten Gillibrand","US","web","connecticut",2019-06-02
"34","Delaware",0,"Kirsten Gillibrand","US","web","delaware",2019-06-02
"35","Illinois",0,"Kirsten Gillibrand","US","web","illinois",2019-06-02
"36","Maine",0,"Kirsten Gillibrand","US","web","maine",2019-06-02
"37","Missouri",0,"Kirsten Gillibrand","US","web","missouri",2019-06-02
"38","Mississippi",0,"Kirsten Gillibrand","US","web","mississippi",2019-06-02
"39","Montana",0,"Kirsten Gillibrand","US","web","montana",2019-06-02
"40","North Dakota",0,"Kirsten Gillibrand","US","web","north dakota",2019-06-02
"41","New Mexico",0,"Kirsten Gillibrand","US","web","new mexico",2019-06-02
"42","Ohio",0,"Kirsten Gillibrand","US","web","ohio",2019-06-02
"43","Oklahoma",0,"Kirsten Gillibrand","US","web","oklahoma",2019-06-02
"44","Oregon",0,"Kirsten Gillibrand","US","web","oregon",2019-06-02
"45","Rhode Island",0,"Kirsten Gillibrand","US","web","rhode island",2019-06-02
"46","South Dakota",0,"Kirsten Gillibrand","US","web","south dakota",2019-06-02
"47","Utah",0,"Kirsten Gillibrand","US","web","utah",2019-06-02
"48","Washington",0,"Kirsten Gillibrand","US","web","washington",2019-06-02
"49","Wisconsin",0,"Kirsten Gillibrand","US","web","wisconsin",2019-06-02
"50","West Virginia",0,"Kirsten Gillibrand","US","web","west virginia",2019-06-02
"51","Wyoming",0,"Kirsten Gillibrand","US","web","wyoming",2019-06-02
