"","subject","related_queries","value","geo","keyword","category"
"1","100","top","kirsten gillibrand 2020","US","Kirsten Gillibrand",0
"2","71","top","kirsten gillibrand social security","US","Kirsten Gillibrand",0
"3","49","top","elizabeth warren","US","Kirsten Gillibrand",0
"4","49","top","kamala harris","US","Kirsten Gillibrand",0
"5","42","top","senator kirsten gillibrand","US","Kirsten Gillibrand",0
"6","33","top","democratic candidates","US","Kirsten Gillibrand",0
"7","33","top","joe biden","US","Kirsten Gillibrand",0
"8","33","top","pete buttigieg","US","Kirsten Gillibrand",0
"9","33","top","bernie sanders","US","Kirsten Gillibrand",0
"10","24","top","tulsi gabbard","US","Kirsten Gillibrand",0
"11","22","top","kirsten gillibrand age","US","Kirsten Gillibrand",0
"12","20","top","amy klobuchar","US","Kirsten Gillibrand",0
"13","18","top","kirsten gillibrand net worth","US","Kirsten Gillibrand",0
"14","17","top","chris wallace kirsten gillibrand","US","Kirsten Gillibrand",0
"15","15","top","kirsten gillibrand husband","US","Kirsten Gillibrand",0
"16","11","top","sen. kirsten gillibrand","US","Kirsten Gillibrand",0
"17","9","top","kirsten gillibrand fox news town hall","US","Kirsten Gillibrand",0
"18","9","top","how old is kirsten gillibrand","US","Kirsten Gillibrand",0
"19","9","top","kirsten gillibrand father","US","Kirsten Gillibrand",0
"20","7","top","democratic presidential candidates","US","Kirsten Gillibrand",0
"21","5","top","kirsten gillibrand social security quote","US","Kirsten Gillibrand",0
"22","Breakout","rising","chris wallace kirsten gillibrand","US","Kirsten Gillibrand",0
"23","Breakout","rising","kirsten gillibrand fox news town hall","US","Kirsten Gillibrand",0
"24","Breakout","rising","kirsten gillibrand social security quote","US","Kirsten Gillibrand",0
"25","+650%","rising","kirsten gillibrand social security","US","Kirsten Gillibrand",0
"26","+250%","rising","kirsten gillibrand father","US","Kirsten Gillibrand",0
"27","+110%","rising","joe biden","US","Kirsten Gillibrand",0
"28","+70%","rising","kirsten gillibrand husband","US","Kirsten Gillibrand",0
"29","+50%","rising","pete buttigieg","US","Kirsten Gillibrand",0
"30","+50%","rising","bernie sanders","US","Kirsten Gillibrand",0
