"","subject","related_queries","value","geo","keyword","category"
"1","100","top","mayor pete","US","Pete Buttigieg",0
"2","99","top","mayor pete buttigieg","US","Pete Buttigieg",0
"3","94","top","is pete buttigieg","US","Pete Buttigieg",0
"4","58","top","pete buttigieg 2020","US","Pete Buttigieg",0
"5","56","top","pete 2020","US","Pete Buttigieg",0
"6","51","top","pete buttigieg news","US","Pete Buttigieg",0
"7","50","top","trump","US","Pete Buttigieg",0
"8","46","top","pete buttigieg husband","US","Pete Buttigieg",0
"9","44","top","chasten buttigieg","US","Pete Buttigieg",0
"10","36","top","pete buttigieg gay","US","Pete Buttigieg",0
"11","36","top","biden","US","Pete Buttigieg",0
"12","34","top","joe biden","US","Pete Buttigieg",0
"13","33","top","town hall pete buttigieg","US","Pete Buttigieg",0
"14","31","top","beto","US","Pete Buttigieg",0
"15","30","top","pete buttigieg polls","US","Pete Buttigieg",0
"16","29","top","bernie sanders","US","Pete Buttigieg",0
"17","28","top","south bend","US","Pete Buttigieg",0
"18","28","top","pete buttigieg twitter","US","Pete Buttigieg",0
"19","27","top","pete buttigieg fox","US","Pete Buttigieg",0
"20","26","top","democratic candidates","US","Pete Buttigieg",0
"21","25","top","pete buttigieg campaign","US","Pete Buttigieg",0
"22","25","top","pete buttigieg policies","US","Pete Buttigieg",0
"23","24","top","fox news pete buttigieg","US","Pete Buttigieg",0
"24","23","top","elizabeth warren","US","Pete Buttigieg",0
"25","23","top","kamala harris","US","Pete Buttigieg",0
"26","Breakout","rising","pete buttigieg fox town hall","US","Pete Buttigieg",0
"27","Breakout","rising","jimmy fallon pete buttigieg","US","Pete Buttigieg",0
"28","Breakout","rising","pete buttigieg alfred e neuman","US","Pete Buttigieg",0
"29","Breakout","rising","pete buttigieg rachel maddow","US","Pete Buttigieg",0
"30","Breakout","rising","alfred e neuman","US","Pete Buttigieg",0
"31","Breakout","rising","pete buttigieg fox news town hall","US","Pete Buttigieg",0
"32","Breakout","rising","rachel maddow","US","Pete Buttigieg",0
"33","Breakout","rising","franklin graham pete buttigieg","US","Pete Buttigieg",0
"34","Breakout","rising","franklin graham","US","Pete Buttigieg",0
"35","Breakout","rising","pete buttigieg assault","US","Pete Buttigieg",0
"36","Breakout","rising","pete buttigieg sexual assault","US","Pete Buttigieg",0
"37","Breakout","rising","time magazine pete buttigieg","US","Pete Buttigieg",0
"38","Breakout","rising","pete buttigieg polling","US","Pete Buttigieg",0
"39","Breakout","rising","eric swalwell","US","Pete Buttigieg",0
"40","Breakout","rising","pete buttigieg military service","US","Pete Buttigieg",0
"41","Breakout","rising","pete buttigieg speaking french","US","Pete Buttigieg",0
"42","Breakout","rising","brad stevens pete buttigieg","US","Pete Buttigieg",0
"43","Breakout","rising","pete buttigieg vogue","US","Pete Buttigieg",0
"44","Breakout","rising","pete buttigieg racist","US","Pete Buttigieg",0
"45","Breakout","rising","pete buttigieg tapes","US","Pete Buttigieg",0
"46","Breakout","rising","hunter kelly pete buttigieg","US","Pete Buttigieg",0
"47","Breakout","rising","seth moulton","US","Pete Buttigieg",0
"48","Breakout","rising","pete buttigieg meet the press","US","Pete Buttigieg",0
"49","Breakout","rising","who is pete buttigieg married to","US","Pete Buttigieg",0
"50","+4,550%","rising","where is pete buttigieg from","US","Pete Buttigieg",0
