"subject","related_queries","value","geo","keyword","category"
"100","top","biden","US","Bernie Sanders",0
"92","top","trump","US","Bernie Sanders",0
"89","top","joe biden bernie sanders","US","Bernie Sanders",0
"85","top","joe biden","US","Bernie Sanders",0
"69","top","age bernie sanders","US","Bernie Sanders",0
"58","top","bernie sanders 2020","US","Bernie Sanders",0
"48","top","bernie sanders news","US","Bernie Sanders",0
"46","top","donald trump","US","Bernie Sanders",0
"42","top","bernie sanders town hall","US","Bernie Sanders",0
"35","top","bernie sanders fox","US","Bernie Sanders",0
"34","top","bernie sanders net worth","US","Bernie Sanders",0
"29","top","elizabeth warren","US","Bernie Sanders",0
"28","top","how old is bernie sanders","US","Bernie Sanders",0
"26","top","fox news bernie sanders","US","Bernie Sanders",0
"25","top","bernie sanders tax","US","Bernie Sanders",0
"21","top","bernie sanders campaign","US","Bernie Sanders",0
"20","top","bernie sanders twitter","US","Bernie Sanders",0
"20","top","bernie sanders polls","US","Bernie Sanders",0
"19","top","buttigieg","US","Bernie Sanders",0
"18","top","kamala harris","US","Bernie Sanders",0
"18","top","bernie sanders fox town hall","US","Bernie Sanders",0
"15","top","beto","US","Bernie Sanders",0
"15","top","pete buttigieg","US","Bernie Sanders",0
"15","top","joe biden age","US","Bernie Sanders",0
"14","top","bernie sanders rally","US","Bernie Sanders",0
"Breakout","rising","bernie sanders boston bomber","US","Bernie Sanders",0
"Breakout","rising","bernie sanders boston marathon","US","Bernie Sanders",0
"Breakout","rising","bernie sanders bethlehem pa","US","Bernie Sanders",0
"Breakout","rising","bernie sanders she the people","US","Bernie Sanders",0
"Breakout","rising","bernie sanders prisoners vote","US","Bernie Sanders",0
"Breakout","rising","mike gravel","US","Bernie Sanders",0
"Breakout","rising","bernie sanders boston marathon bomber","US","Bernie Sanders",0
"Breakout","rising","did bernie sanders say christianity is an insult to muslims","US","Bernie Sanders",0
"Breakout","rising","kaitlin bennett bernie sanders","US","Bernie Sanders",0
"Breakout","rising","kaitlin bennett","US","Bernie Sanders",0
"Breakout","rising","bernie sanders felons voting","US","Bernie Sanders",0
"Breakout","rising","bernie sanders booed","US","Bernie Sanders",0
"Breakout","rising","bernie sanders asheville","US","Bernie Sanders",0
"Breakout","rising","bernie sanders on fox town hall","US","Bernie Sanders",0
"Breakout","rising","bernie sanders tax return 2018","US","Bernie Sanders",0
"Breakout","rising","bernie sanders town hall meeting 2019","US","Bernie Sanders",0
"Breakout","rising","did bernie sanders say christianity is an insult to muslims?","US","Bernie Sanders",0
"Breakout","rising","bernie sanders fox town hall","US","Bernie Sanders",0
"Breakout","rising","bernie sanders says christianity is an insult to muslims","US","Bernie Sanders",0
"Breakout","rising","where does bernie sanders live","US","Bernie Sanders",0
"+4,400%","rising","has bernie sanders ever worked","US","Bernie Sanders",0
"+4,350%","rising","bernie sanders fox town hall 2019","US","Bernie Sanders",0
"+4,150%","rising","bernie sanders criticizes billionaire","US","Bernie Sanders",0
"+3,950%","rising","fox news bernie sanders town hall","US","Bernie Sanders",0
"+2,850%","rising","bernie sanders poll numbers","US","Bernie Sanders",0
