"","location","hits","keyword","geo","gprop","region","date"
"1","Alaska",100,"Kirsten Gillibrand","US","web","alaska",2019-06-03
"2","Delaware",63,"Kirsten Gillibrand","US","web","delaware",2019-06-03
"3","Utah",56,"Kirsten Gillibrand","US","web","utah",2019-06-03
"4","District of Columbia",46,"Kirsten Gillibrand","US","web","district of columbia",2019-06-03
"5","Idaho",41,"Kirsten Gillibrand","US","web","idaho",2019-06-03
"6","New Hampshire",40,"Kirsten Gillibrand","US","web","new hampshire",2019-06-03
"7","Nebraska",30,"Kirsten Gillibrand","US","web","nebraska",2019-06-03
"8","Mississippi",30,"Kirsten Gillibrand","US","web","mississippi",2019-06-03
"9","Alabama",29,"Kirsten Gillibrand","US","web","alabama",2019-06-03
"10","Ohio",26,"Kirsten Gillibrand","US","web","ohio",2019-06-03
"11","Kansas",25,"Kirsten Gillibrand","US","web","kansas",2019-06-03
"12","Pennsylvania",24,"Kirsten Gillibrand","US","web","pennsylvania",2019-06-03
"13","Iowa",24,"Kirsten Gillibrand","US","web","iowa",2019-06-03
"14","Massachusetts",24,"Kirsten Gillibrand","US","web","massachusetts",2019-06-03
"15","Arizona",22,"Kirsten Gillibrand","US","web","arizona",2019-06-03
"16","Washington",21,"Kirsten Gillibrand","US","web","washington",2019-06-03
"17","Maryland",21,"Kirsten Gillibrand","US","web","maryland",2019-06-03
"18","Indiana",21,"Kirsten Gillibrand","US","web","indiana",2019-06-03
"19","Minnesota",20,"Kirsten Gillibrand","US","web","minnesota",2019-06-03
"20","Virginia",20,"Kirsten Gillibrand","US","web","virginia",2019-06-03
"21","South Carolina",20,"Kirsten Gillibrand","US","web","south carolina",2019-06-03
"22","Oregon",19,"Kirsten Gillibrand","US","web","oregon",2019-06-03
"23","Nevada",19,"Kirsten Gillibrand","US","web","nevada",2019-06-03
"24","Oklahoma",19,"Kirsten Gillibrand","US","web","oklahoma",2019-06-03
"25","Colorado",19,"Kirsten Gillibrand","US","web","colorado",2019-06-03
"26","Tennessee",18,"Kirsten Gillibrand","US","web","tennessee",2019-06-03
"27","California",18,"Kirsten Gillibrand","US","web","california",2019-06-03
"28","Michigan",18,"Kirsten Gillibrand","US","web","michigan",2019-06-03
"29","Texas",17,"Kirsten Gillibrand","US","web","texas",2019-06-03
"30","Kentucky",16,"Kirsten Gillibrand","US","web","kentucky",2019-06-03
"31","North Carolina",16,"Kirsten Gillibrand","US","web","north carolina",2019-06-03
"32","New York",15,"Kirsten Gillibrand","US","web","new york",2019-06-03
"33","Connecticut",14,"Kirsten Gillibrand","US","web","connecticut",2019-06-03
"34","Florida",13,"Kirsten Gillibrand","US","web","florida",2019-06-03
"35","New Jersey",13,"Kirsten Gillibrand","US","web","new jersey",2019-06-03
"36","Missouri",10,"Kirsten Gillibrand","US","web","missouri",2019-06-03
"37","Illinois",6,"Kirsten Gillibrand","US","web","illinois",2019-06-03
"38","Georgia",5,"Kirsten Gillibrand","US","web","georgia",2019-06-03
"39","Arkansas",0,"Kirsten Gillibrand","US","web","arkansas",2019-06-03
"40","Hawaii",0,"Kirsten Gillibrand","US","web","hawaii",2019-06-03
"41","Louisiana",0,"Kirsten Gillibrand","US","web","louisiana",2019-06-03
"42","Maine",0,"Kirsten Gillibrand","US","web","maine",2019-06-03
"43","Montana",0,"Kirsten Gillibrand","US","web","montana",2019-06-03
"44","North Dakota",0,"Kirsten Gillibrand","US","web","north dakota",2019-06-03
"45","New Mexico",0,"Kirsten Gillibrand","US","web","new mexico",2019-06-03
"46","Rhode Island",0,"Kirsten Gillibrand","US","web","rhode island",2019-06-03
"47","South Dakota",0,"Kirsten Gillibrand","US","web","south dakota",2019-06-03
"48","Vermont",0,"Kirsten Gillibrand","US","web","vermont",2019-06-03
"49","Wisconsin",0,"Kirsten Gillibrand","US","web","wisconsin",2019-06-03
"50","West Virginia",0,"Kirsten Gillibrand","US","web","west virginia",2019-06-03
"51","Wyoming",0,"Kirsten Gillibrand","US","web","wyoming",2019-06-03
