"","location","hits","keyword","geo","gprop","region","date"
"1","Montana",100,"Kirsten Gillibrand","US","web","montana",2019-06-02
"2","Nebraska",83,"Kirsten Gillibrand","US","web","nebraska",2019-06-02
"3","District of Columbia",80,"Kirsten Gillibrand","US","web","district of columbia",2019-06-02
"4","Connecticut",59,"Kirsten Gillibrand","US","web","connecticut",2019-06-02
"5","New Hampshire",56,"Kirsten Gillibrand","US","web","new hampshire",2019-06-02
"6","Mississippi",40,"Kirsten Gillibrand","US","web","mississippi",2019-06-02
"7","South Carolina",35,"Kirsten Gillibrand","US","web","south carolina",2019-06-02
"8","Michigan",33,"Kirsten Gillibrand","US","web","michigan",2019-06-02
"9","Missouri",27,"Kirsten Gillibrand","US","web","missouri",2019-06-02
"10","New York",27,"Kirsten Gillibrand","US","web","new york",2019-06-02
"11","New Jersey",26,"Kirsten Gillibrand","US","web","new jersey",2019-06-02
"12","Nevada",24,"Kirsten Gillibrand","US","web","nevada",2019-06-02
"13","Massachusetts",24,"Kirsten Gillibrand","US","web","massachusetts",2019-06-02
"14","Louisiana",21,"Kirsten Gillibrand","US","web","louisiana",2019-06-02
"15","Alabama",20,"Kirsten Gillibrand","US","web","alabama",2019-06-02
"16","Pennsylvania",18,"Kirsten Gillibrand","US","web","pennsylvania",2019-06-02
"17","Florida",18,"Kirsten Gillibrand","US","web","florida",2019-06-02
"18","Maryland",17,"Kirsten Gillibrand","US","web","maryland",2019-06-02
"19","North Carolina",14,"Kirsten Gillibrand","US","web","north carolina",2019-06-02
"20","Minnesota",14,"Kirsten Gillibrand","US","web","minnesota",2019-06-02
"21","Indiana",14,"Kirsten Gillibrand","US","web","indiana",2019-06-02
"22","Ohio",14,"Kirsten Gillibrand","US","web","ohio",2019-06-02
"23","Wisconsin",13,"Kirsten Gillibrand","US","web","wisconsin",2019-06-02
"24","Georgia",13,"Kirsten Gillibrand","US","web","georgia",2019-06-02
"25","California",13,"Kirsten Gillibrand","US","web","california",2019-06-02
"26","Colorado",13,"Kirsten Gillibrand","US","web","colorado",2019-06-02
"27","Tennessee",12,"Kirsten Gillibrand","US","web","tennessee",2019-06-02
"28","Arizona",11,"Kirsten Gillibrand","US","web","arizona",2019-06-02
"29","Texas",10,"Kirsten Gillibrand","US","web","texas",2019-06-02
"30","Illinois",8,"Kirsten Gillibrand","US","web","illinois",2019-06-02
"31","Virginia",8,"Kirsten Gillibrand","US","web","virginia",2019-06-02
"32","Alaska",0,"Kirsten Gillibrand","US","web","alaska",2019-06-02
"33","Arkansas",0,"Kirsten Gillibrand","US","web","arkansas",2019-06-02
"34","Delaware",0,"Kirsten Gillibrand","US","web","delaware",2019-06-02
"35","Hawaii",0,"Kirsten Gillibrand","US","web","hawaii",2019-06-02
"36","Iowa",0,"Kirsten Gillibrand","US","web","iowa",2019-06-02
"37","Idaho",0,"Kirsten Gillibrand","US","web","idaho",2019-06-02
"38","Kansas",0,"Kirsten Gillibrand","US","web","kansas",2019-06-02
"39","Kentucky",0,"Kirsten Gillibrand","US","web","kentucky",2019-06-02
"40","Maine",0,"Kirsten Gillibrand","US","web","maine",2019-06-02
"41","North Dakota",0,"Kirsten Gillibrand","US","web","north dakota",2019-06-02
"42","New Mexico",0,"Kirsten Gillibrand","US","web","new mexico",2019-06-02
"43","Oklahoma",0,"Kirsten Gillibrand","US","web","oklahoma",2019-06-02
"44","Oregon",0,"Kirsten Gillibrand","US","web","oregon",2019-06-02
"45","Rhode Island",0,"Kirsten Gillibrand","US","web","rhode island",2019-06-02
"46","South Dakota",0,"Kirsten Gillibrand","US","web","south dakota",2019-06-02
"47","Utah",0,"Kirsten Gillibrand","US","web","utah",2019-06-02
"48","Vermont",0,"Kirsten Gillibrand","US","web","vermont",2019-06-02
"49","Washington",0,"Kirsten Gillibrand","US","web","washington",2019-06-02
"50","West Virginia",0,"Kirsten Gillibrand","US","web","west virginia",2019-06-02
"51","Wyoming",0,"Kirsten Gillibrand","US","web","wyoming",2019-06-02
