"","location","hits","keyword","geo","gprop","region","date"
"1","District of Columbia",100,"Pete Buttigieg","US","web","district of columbia",2019-05-22
"2","North Dakota",84,"Pete Buttigieg","US","web","north dakota",2019-05-22
"3","West Virginia",70,"Pete Buttigieg","US","web","west virginia",2019-05-22
"4","Indiana",63,"Pete Buttigieg","US","web","indiana",2019-05-22
"5","Montana",62,"Pete Buttigieg","US","web","montana",2019-05-22
"6","Alaska",49,"Pete Buttigieg","US","web","alaska",2019-05-22
"7","Vermont",48,"Pete Buttigieg","US","web","vermont",2019-05-22
"8","Massachusetts",47,"Pete Buttigieg","US","web","massachusetts",2019-05-22
"9","Oregon",45,"Pete Buttigieg","US","web","oregon",2019-05-22
"10","Kentucky",42,"Pete Buttigieg","US","web","kentucky",2019-05-22
"11","New York",41,"Pete Buttigieg","US","web","new york",2019-05-22
"12","New Hampshire",41,"Pete Buttigieg","US","web","new hampshire",2019-05-22
"13","Iowa",39,"Pete Buttigieg","US","web","iowa",2019-05-22
"14","Colorado",39,"Pete Buttigieg","US","web","colorado",2019-05-22
"15","South Dakota",38,"Pete Buttigieg","US","web","south dakota",2019-05-22
"16","Utah",37,"Pete Buttigieg","US","web","utah",2019-05-22
"17","Washington",37,"Pete Buttigieg","US","web","washington",2019-05-22
"18","Oklahoma",34,"Pete Buttigieg","US","web","oklahoma",2019-05-22
"19","Tennessee",33,"Pete Buttigieg","US","web","tennessee",2019-05-22
"20","Kansas",32,"Pete Buttigieg","US","web","kansas",2019-05-22
"21","Virginia",31,"Pete Buttigieg","US","web","virginia",2019-05-22
"22","Maryland",31,"Pete Buttigieg","US","web","maryland",2019-05-22
"23","New Mexico",30,"Pete Buttigieg","US","web","new mexico",2019-05-22
"24","Delaware",30,"Pete Buttigieg","US","web","delaware",2019-05-22
"25","Pennsylvania",29,"Pete Buttigieg","US","web","pennsylvania",2019-05-22
"26","Nebraska",28,"Pete Buttigieg","US","web","nebraska",2019-05-22
"27","Illinois",27,"Pete Buttigieg","US","web","illinois",2019-05-22
"28","California",27,"Pete Buttigieg","US","web","california",2019-05-22
"29","Ohio",27,"Pete Buttigieg","US","web","ohio",2019-05-22
"30","Nevada",26,"Pete Buttigieg","US","web","nevada",2019-05-22
"31","Wisconsin",25,"Pete Buttigieg","US","web","wisconsin",2019-05-22
"32","Georgia",25,"Pete Buttigieg","US","web","georgia",2019-05-22
"33","Alabama",25,"Pete Buttigieg","US","web","alabama",2019-05-22
"34","Florida",24,"Pete Buttigieg","US","web","florida",2019-05-22
"35","Rhode Island",23,"Pete Buttigieg","US","web","rhode island",2019-05-22
"36","Missouri",23,"Pete Buttigieg","US","web","missouri",2019-05-22
"37","Arizona",23,"Pete Buttigieg","US","web","arizona",2019-05-22
"38","Louisiana",22,"Pete Buttigieg","US","web","louisiana",2019-05-22
"39","Minnesota",22,"Pete Buttigieg","US","web","minnesota",2019-05-22
"40","Maine",22,"Pete Buttigieg","US","web","maine",2019-05-22
"41","South Carolina",22,"Pete Buttigieg","US","web","south carolina",2019-05-22
"42","Michigan",21,"Pete Buttigieg","US","web","michigan",2019-05-22
"43","Hawaii",21,"Pete Buttigieg","US","web","hawaii",2019-05-22
"44","North Carolina",18,"Pete Buttigieg","US","web","north carolina",2019-05-22
"45","Idaho",18,"Pete Buttigieg","US","web","idaho",2019-05-22
"46","Texas",18,"Pete Buttigieg","US","web","texas",2019-05-22
"47","Connecticut",17,"Pete Buttigieg","US","web","connecticut",2019-05-22
"48","Mississippi",14,"Pete Buttigieg","US","web","mississippi",2019-05-22
"49","New Jersey",13,"Pete Buttigieg","US","web","new jersey",2019-05-22
"50","Arkansas",12,"Pete Buttigieg","US","web","arkansas",2019-05-22
"51","Wyoming",0,"Pete Buttigieg","US","web","wyoming",2019-05-22
