"","location","hits","keyword","geo","gprop","region","date"
"1","District of Columbia",100,"Pete Buttigieg","US","web","district of columbia",2019-05-21
"2","Alaska",69,"Pete Buttigieg","US","web","alaska",2019-05-21
"3","Maine",66,"Pete Buttigieg","US","web","maine",2019-05-21
"4","Wyoming",58,"Pete Buttigieg","US","web","wyoming",2019-05-21
"5","Rhode Island",57,"Pete Buttigieg","US","web","rhode island",2019-05-21
"6","New Hampshire",56,"Pete Buttigieg","US","web","new hampshire",2019-05-21
"7","Indiana",53,"Pete Buttigieg","US","web","indiana",2019-05-21
"8","Vermont",49,"Pete Buttigieg","US","web","vermont",2019-05-21
"9","Connecticut",46,"Pete Buttigieg","US","web","connecticut",2019-05-21
"10","New Mexico",42,"Pete Buttigieg","US","web","new mexico",2019-05-21
"11","Delaware",41,"Pete Buttigieg","US","web","delaware",2019-05-21
"12","Maryland",41,"Pete Buttigieg","US","web","maryland",2019-05-21
"13","Iowa",41,"Pete Buttigieg","US","web","iowa",2019-05-21
"14","South Dakota",40,"Pete Buttigieg","US","web","south dakota",2019-05-21
"15","Virginia",40,"Pete Buttigieg","US","web","virginia",2019-05-21
"16","Massachusetts",36,"Pete Buttigieg","US","web","massachusetts",2019-05-21
"17","Kansas",33,"Pete Buttigieg","US","web","kansas",2019-05-21
"18","Montana",32,"Pete Buttigieg","US","web","montana",2019-05-21
"19","South Carolina",32,"Pete Buttigieg","US","web","south carolina",2019-05-21
"20","New York",31,"Pete Buttigieg","US","web","new york",2019-05-21
"21","Pennsylvania",31,"Pete Buttigieg","US","web","pennsylvania",2019-05-21
"22","Minnesota",30,"Pete Buttigieg","US","web","minnesota",2019-05-21
"23","Missouri",29,"Pete Buttigieg","US","web","missouri",2019-05-21
"24","Washington",29,"Pete Buttigieg","US","web","washington",2019-05-21
"25","California",29,"Pete Buttigieg","US","web","california",2019-05-21
"26","Michigan",28,"Pete Buttigieg","US","web","michigan",2019-05-21
"27","Florida",28,"Pete Buttigieg","US","web","florida",2019-05-21
"28","Nevada",27,"Pete Buttigieg","US","web","nevada",2019-05-21
"29","Ohio",26,"Pete Buttigieg","US","web","ohio",2019-05-21
"30","Colorado",25,"Pete Buttigieg","US","web","colorado",2019-05-21
"31","Oregon",25,"Pete Buttigieg","US","web","oregon",2019-05-21
"32","Tennessee",24,"Pete Buttigieg","US","web","tennessee",2019-05-21
"33","Illinois",24,"Pete Buttigieg","US","web","illinois",2019-05-21
"34","Georgia",22,"Pete Buttigieg","US","web","georgia",2019-05-21
"35","Wisconsin",22,"Pete Buttigieg","US","web","wisconsin",2019-05-21
"36","New Jersey",22,"Pete Buttigieg","US","web","new jersey",2019-05-21
"37","North Carolina",21,"Pete Buttigieg","US","web","north carolina",2019-05-21
"38","Utah",20,"Pete Buttigieg","US","web","utah",2019-05-21
"39","Arkansas",20,"Pete Buttigieg","US","web","arkansas",2019-05-21
"40","Alabama",19,"Pete Buttigieg","US","web","alabama",2019-05-21
"41","Mississippi",19,"Pete Buttigieg","US","web","mississippi",2019-05-21
"42","Nebraska",19,"Pete Buttigieg","US","web","nebraska",2019-05-21
"43","Texas",19,"Pete Buttigieg","US","web","texas",2019-05-21
"44","Idaho",19,"Pete Buttigieg","US","web","idaho",2019-05-21
"45","Arizona",18,"Pete Buttigieg","US","web","arizona",2019-05-21
"46","Oklahoma",17,"Pete Buttigieg","US","web","oklahoma",2019-05-21
"47","West Virginia",16,"Pete Buttigieg","US","web","west virginia",2019-05-21
"48","Hawaii",15,"Pete Buttigieg","US","web","hawaii",2019-05-21
"49","Kentucky",13,"Pete Buttigieg","US","web","kentucky",2019-05-21
"50","Louisiana",13,"Pete Buttigieg","US","web","louisiana",2019-05-21
"51","North Dakota",0,"Pete Buttigieg","US","web","north dakota",2019-05-21
