"","location","hits","keyword","geo","gprop","region","date"
"1","District of Columbia",100,"Bernie Sanders","US","web","district of columbia",2019-04-16
"2","Vermont",99,"Bernie Sanders","US","web","vermont",2019-04-16
"3","Pennsylvania",76,"Bernie Sanders","US","web","pennsylvania",2019-04-16
"4","South Dakota",61,"Bernie Sanders","US","web","south dakota",2019-04-16
"5","Idaho",57,"Bernie Sanders","US","web","idaho",2019-04-16
"6","Michigan",52,"Bernie Sanders","US","web","michigan",2019-04-16
"7","Alaska",51,"Bernie Sanders","US","web","alaska",2019-04-16
"8","Montana",50,"Bernie Sanders","US","web","montana",2019-04-16
"9","Wisconsin",50,"Bernie Sanders","US","web","wisconsin",2019-04-16
"10","Maine",49,"Bernie Sanders","US","web","maine",2019-04-16
"11","Kansas",49,"Bernie Sanders","US","web","kansas",2019-04-16
"12","New York",47,"Bernie Sanders","US","web","new york",2019-04-16
"13","Oregon",47,"Bernie Sanders","US","web","oregon",2019-04-16
"14","Wyoming",46,"Bernie Sanders","US","web","wyoming",2019-04-16
"15","Delaware",46,"Bernie Sanders","US","web","delaware",2019-04-16
"16","Ohio",45,"Bernie Sanders","US","web","ohio",2019-04-16
"17","North Dakota",43,"Bernie Sanders","US","web","north dakota",2019-04-16
"18","Arkansas",42,"Bernie Sanders","US","web","arkansas",2019-04-16
"19","Tennessee",42,"Bernie Sanders","US","web","tennessee",2019-04-16
"20","Massachusetts",42,"Bernie Sanders","US","web","massachusetts",2019-04-16
"21","New Jersey",40,"Bernie Sanders","US","web","new jersey",2019-04-16
"22","West Virginia",40,"Bernie Sanders","US","web","west virginia",2019-04-16
"23","Minnesota",40,"Bernie Sanders","US","web","minnesota",2019-04-16
"24","Florida",40,"Bernie Sanders","US","web","florida",2019-04-16
"25","Maryland",40,"Bernie Sanders","US","web","maryland",2019-04-16
"26","Indiana",40,"Bernie Sanders","US","web","indiana",2019-04-16
"27","Hawaii",38,"Bernie Sanders","US","web","hawaii",2019-04-16
"28","California",37,"Bernie Sanders","US","web","california",2019-04-16
"29","Arizona",37,"Bernie Sanders","US","web","arizona",2019-04-16
"30","Illinois",36,"Bernie Sanders","US","web","illinois",2019-04-16
"31","New Hampshire",36,"Bernie Sanders","US","web","new hampshire",2019-04-16
"32","North Carolina",36,"Bernie Sanders","US","web","north carolina",2019-04-16
"33","New Mexico",36,"Bernie Sanders","US","web","new mexico",2019-04-16
"34","Virginia",35,"Bernie Sanders","US","web","virginia",2019-04-16
"35","Connecticut",33,"Bernie Sanders","US","web","connecticut",2019-04-16
"36","Missouri",32,"Bernie Sanders","US","web","missouri",2019-04-16
"37","Washington",32,"Bernie Sanders","US","web","washington",2019-04-16
"38","Rhode Island",31,"Bernie Sanders","US","web","rhode island",2019-04-16
"39","South Carolina",31,"Bernie Sanders","US","web","south carolina",2019-04-16
"40","Texas",31,"Bernie Sanders","US","web","texas",2019-04-16
"41","Oklahoma",30,"Bernie Sanders","US","web","oklahoma",2019-04-16
"42","Colorado",30,"Bernie Sanders","US","web","colorado",2019-04-16
"43","Iowa",29,"Bernie Sanders","US","web","iowa",2019-04-16
"44","Utah",28,"Bernie Sanders","US","web","utah",2019-04-16
"45","Louisiana",26,"Bernie Sanders","US","web","louisiana",2019-04-16
"46","Nebraska",25,"Bernie Sanders","US","web","nebraska",2019-04-16
"47","Nevada",25,"Bernie Sanders","US","web","nevada",2019-04-16
"48","Alabama",23,"Bernie Sanders","US","web","alabama",2019-04-16
"49","Georgia",23,"Bernie Sanders","US","web","georgia",2019-04-16
"50","Mississippi",21,"Bernie Sanders","US","web","mississippi",2019-04-16
"51","Kentucky",21,"Bernie Sanders","US","web","kentucky",2019-04-16
