"","location","hits","keyword","geo","gprop","region","date"
"1","District of Columbia",100,"Bernie Sanders","US","web","district of columbia",2019-04-15
"2","Vermont",100,"Bernie Sanders","US","web","vermont",2019-04-15
"3","Wyoming",86,"Bernie Sanders","US","web","wyoming",2019-04-15
"4","Idaho",81,"Bernie Sanders","US","web","idaho",2019-04-15
"5","Pennsylvania",78,"Bernie Sanders","US","web","pennsylvania",2019-04-15
"6","Alaska",71,"Bernie Sanders","US","web","alaska",2019-04-15
"7","South Dakota",57,"Bernie Sanders","US","web","south dakota",2019-04-15
"8","Alabama",38,"Bernie Sanders","US","web","alabama",2019-04-15
"9","Oregon",38,"Bernie Sanders","US","web","oregon",2019-04-15
"10","New Jersey",36,"Bernie Sanders","US","web","new jersey",2019-04-15
"11","Kansas",35,"Bernie Sanders","US","web","kansas",2019-04-15
"12","Minnesota",35,"Bernie Sanders","US","web","minnesota",2019-04-15
"13","Tennessee",35,"Bernie Sanders","US","web","tennessee",2019-04-15
"14","Oklahoma",33,"Bernie Sanders","US","web","oklahoma",2019-04-15
"15","Wisconsin",33,"Bernie Sanders","US","web","wisconsin",2019-04-15
"16","New York",33,"Bernie Sanders","US","web","new york",2019-04-15
"17","Ohio",32,"Bernie Sanders","US","web","ohio",2019-04-15
"18","Massachusetts",31,"Bernie Sanders","US","web","massachusetts",2019-04-15
"19","Florida",31,"Bernie Sanders","US","web","florida",2019-04-15
"20","Missouri",31,"Bernie Sanders","US","web","missouri",2019-04-15
"21","Utah",31,"Bernie Sanders","US","web","utah",2019-04-15
"22","Delaware",31,"Bernie Sanders","US","web","delaware",2019-04-15
"23","West Virginia",30,"Bernie Sanders","US","web","west virginia",2019-04-15
"24","Maryland",30,"Bernie Sanders","US","web","maryland",2019-04-15
"25","North Dakota",30,"Bernie Sanders","US","web","north dakota",2019-04-15
"26","Arkansas",29,"Bernie Sanders","US","web","arkansas",2019-04-15
"27","Iowa",29,"Bernie Sanders","US","web","iowa",2019-04-15
"28","Colorado",29,"Bernie Sanders","US","web","colorado",2019-04-15
"29","Michigan",28,"Bernie Sanders","US","web","michigan",2019-04-15
"30","New Mexico",27,"Bernie Sanders","US","web","new mexico",2019-04-15
"31","Washington",27,"Bernie Sanders","US","web","washington",2019-04-15
"32","California",26,"Bernie Sanders","US","web","california",2019-04-15
"33","Illinois",25,"Bernie Sanders","US","web","illinois",2019-04-15
"34","Rhode Island",25,"Bernie Sanders","US","web","rhode island",2019-04-15
"35","Virginia",24,"Bernie Sanders","US","web","virginia",2019-04-15
"36","Montana",23,"Bernie Sanders","US","web","montana",2019-04-15
"37","Connecticut",23,"Bernie Sanders","US","web","connecticut",2019-04-15
"38","South Carolina",23,"Bernie Sanders","US","web","south carolina",2019-04-15
"39","Indiana",22,"Bernie Sanders","US","web","indiana",2019-04-15
"40","Hawaii",22,"Bernie Sanders","US","web","hawaii",2019-04-15
"41","Louisiana",22,"Bernie Sanders","US","web","louisiana",2019-04-15
"42","North Carolina",21,"Bernie Sanders","US","web","north carolina",2019-04-15
"43","New Hampshire",21,"Bernie Sanders","US","web","new hampshire",2019-04-15
"44","Georgia",19,"Bernie Sanders","US","web","georgia",2019-04-15
"45","Texas",18,"Bernie Sanders","US","web","texas",2019-04-15
"46","Maine",17,"Bernie Sanders","US","web","maine",2019-04-15
"47","Nevada",17,"Bernie Sanders","US","web","nevada",2019-04-15
"48","Nebraska",15,"Bernie Sanders","US","web","nebraska",2019-04-15
"49","Mississippi",14,"Bernie Sanders","US","web","mississippi",2019-04-15
"50","Arizona",14,"Bernie Sanders","US","web","arizona",2019-04-15
"51","Kentucky",13,"Bernie Sanders","US","web","kentucky",2019-04-15
